
libgomp: Invalid value for environment variable OMP_NUM_THREADS
08-29 00:32:33 Model para number = 1.04
Training checkpoint exps/qmf_sync_rank_smoke_seed0/model/training_0005.checkpoint loaded; resume from epoch 6 with optimizer and scheduler state!
08-29 00:41:59 [ 6] r: 1.200000, Lr: 0.000774, Training: 5.92%,  LossV: 0.39679, LossAV: 0.24355, LossSync: 0.61807, LossRank: 0.01758, Loss: 0.50551, ACC: 90.12% 
08-29 00:42:00 [ 6] r: 1.200000, Lr: 0.000774, Training: 6.00%,  LossV: 0.39637, LossAV: 0.24493, LossSync: 0.61925, LossRank: 0.01748, Loss: 0.50679, ACC: 90.06% 
08-29 00:42:01 [ 6] r: 1.200000, Lr: 0.000774, Training: 6.07%,  LossV: 0.39657, LossAV: 0.24489, LossSync: 0.61920, LossRank: 0.01754, Loss: 0.50685, ACC: 90.06% 
08-29 00:42:05 [ 6] r: 1.200000, Lr: 0.000774, Training: 6.14%,  LossV: 0.39586, LossAV: 0.24411, LossSync: 0.61957, LossRank: 0.01749, Loss: 0.50575, ACC: 90.10% 
08-29 00:42:09 [ 6] r: 1.200000, Lr: 0.000774, Training: 6.21%,  LossV: 0.39653, LossAV: 0.24413, LossSync: 0.61968, LossRank: 0.01748, Loss: 0.50611, ACC: 90.09% 
08-29 00:42:10 [ 6] r: 1.200000, Lr: 0.000774, Training: 6.28%,  LossV: 0.39639, LossAV: 0.24405, LossSync: 0.61953, LossRank: 0.01749, Loss: 0.50594, ACC: 90.09% 
08-29 00:42:14 [ 6] r: 1.200000, Lr: 0.000774, Training: 6.35%,  LossV: 0.39615, LossAV: 0.24416, LossSync: 0.61987, LossRank: 0.01749, Loss: 0.50597, ACC: 90.10% 
08-29 00:42:17 [ 6] r: 1.200000, Lr: 0.000774, Training: 6.42%,  LossV: 0.39524, LossAV: 0.24413, LossSync: 0.62005, LossRank: 0.01736, Loss: 0.50549, ACC: 90.09% 
08-29 00:42:21 [ 6] r: 1.200000, Lr: 0.000774, Training: 6.50%,  LossV: 0.39438, LossAV: 0.24337, LossSync: 0.62006, LossRank: 0.01725, Loss: 0.50430, ACC: 90.12% 
08-29 00:42:22 [ 6] r: 1.200000, Lr: 0.000774, Training: 6.57%,  LossV: 0.39435, LossAV: 0.24385, LossSync: 0.61966, LossRank: 0.01724, Loss: 0.50472, ACC: 90.08% 
08-29 00:42:22 [ 6] r: 1.200000, Lr: 0.000774, Training: 6.64%,  LossV: 0.39400, LossAV: 0.24382, LossSync: 0.61951, LossRank: 0.01722, Loss: 0.50449, ACC: 90.08% 
08-29 00:42:28 [ 6] r: 1.200000, Lr: 0.000774, Training: 6.71%,  LossV: 0.39343, LossAV: 0.24346, LossSync: 0.61988, LossRank: 0.01715, Loss: 0.50388, ACC: 90.10% 
08-29 00:42:29 [ 6] r: 1.200000, Lr: 0.000774, Training: 6.78%,  LossV: 0.39222, LossAV: 0.24269, LossSync: 0.62079, LossRank: 0.01699, Loss: 0.50258, ACC: 90.14% 
08-29 00:42:30 [ 6] r: 1.200000, Lr: 0.000774, Training: 6.85%,  LossV: 0.39186, LossAV: 0.24166, LossSync: 0.62028, LossRank: 0.01697, Loss: 0.50131, ACC: 90.18% 
08-29 00:42:35 [ 6] r: 1.200000, Lr: 0.000774, Training: 6.92%,  LossV: 0.39122, LossAV: 0.24189, LossSync: 0.62037, LossRank: 0.01691, Loss: 0.50122, ACC: 90.18% 
08-29 00:42:37 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.00%,  LossV: 0.39140, LossAV: 0.24298, LossSync: 0.62040, LossRank: 0.01693, Loss: 0.50241, ACC: 90.12% 
08-29 00:42:41 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.07%,  LossV: 0.39158, LossAV: 0.24384, LossSync: 0.62034, LossRank: 0.01691, Loss: 0.50335, ACC: 90.11% 
08-29 00:42:42 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.14%,  LossV: 0.38941, LossAV: 0.24193, LossSync: 0.62101, LossRank: 0.01677, Loss: 0.50041, ACC: 90.19% 
08-29 00:42:44 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.21%,  LossV: 0.38974, LossAV: 0.24123, LossSync: 0.62115, LossRank: 0.01675, Loss: 0.49989, ACC: 90.22% 
08-29 00:42:47 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.28%,  LossV: 0.38913, LossAV: 0.24049, LossSync: 0.62136, LossRank: 0.01666, Loss: 0.49886, ACC: 90.24% 
08-29 00:42:47 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.35%,  LossV: 0.38740, LossAV: 0.23889, LossSync: 0.62080, LossRank: 0.01657, Loss: 0.49632, ACC: 90.30% 
08-29 00:42:54 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.42%,  LossV: 0.38686, LossAV: 0.23856, LossSync: 0.62074, LossRank: 0.01653, Loss: 0.49572, ACC: 90.30% 
08-29 00:42:55 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.49%,  LossV: 0.38649, LossAV: 0.23894, LossSync: 0.62022, LossRank: 0.01645, Loss: 0.49585, ACC: 90.29% 
08-29 00:43:03 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.57%,  LossV: 0.38631, LossAV: 0.23826, LossSync: 0.62067, LossRank: 0.01643, Loss: 0.49512, ACC: 90.32% 
08-29 00:43:08 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.64%,  LossV: 0.38673, LossAV: 0.23865, LossSync: 0.62081, LossRank: 0.01648, Loss: 0.49574, ACC: 90.30% 
08-29 00:43:10 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.71%,  LossV: 0.38548, LossAV: 0.23804, LossSync: 0.62123, LossRank: 0.01635, Loss: 0.49453, ACC: 90.33% 
08-29 00:43:14 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.78%,  LossV: 0.38510, LossAV: 0.23738, LossSync: 0.62087, LossRank: 0.01628, Loss: 0.49364, ACC: 90.36% 
08-29 00:43:20 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.85%,  LossV: 0.38405, LossAV: 0.23654, LossSync: 0.62091, LossRank: 0.01620, Loss: 0.49227, ACC: 90.41% 
08-29 00:43:25 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.92%,  LossV: 0.38284, LossAV: 0.23558, LossSync: 0.62110, LossRank: 0.01608, Loss: 0.49072, ACC: 90.47% 
08-29 00:43:30 [ 6] r: 1.200000, Lr: 0.000774, Training: 7.99%,  LossV: 0.38274, LossAV: 0.23628, LossSync: 0.62136, LossRank: 0.01608, Loss: 0.49140, ACC: 90.46% 
08-29 00:43:30 [ 6] r: 1.200000, Lr: 0.000774, Training: 8.07%,  LossV: 0.38166, LossAV: 0.23538, LossSync: 0.62061, LossRank: 0.01601, Loss: 0.48987, ACC: 90.50% 
08-29 00:43:31 [ 6] r: 1.200000, Lr: 0.000774, Training: 8.14%,  LossV: 0.38197, LossAV: 0.23521, LossSync: 0.62054, LossRank: 0.01604, Loss: 0.48985, ACC: 90.50% 
08-29 00:43:35 [ 6] r: 1.200000, Lr: 0.000774, Training: 8.21%,  LossV: 0.38251, LossAV: 0.23623, LossSync: 0.62057, LossRank: 0.01610, Loss: 0.49115, ACC: 90.45% 
08-29 00:43:36 [ 6] r: 1.200000, Lr: 0.000774, Training: 8.28%,  LossV: 0.38304, LossAV: 0.23605, LossSync: 0.62074, LossRank: 0.01613, Loss: 0.49125, ACC: 90.45% 
08-29 00:43:40 [ 6] r: 1.200000, Lr: 0.000774, Training: 8.35%,  LossV: 0.38381, LossAV: 0.23686, LossSync: 0.62082, LossRank: 0.01617, Loss: 0.49246, ACC: 90.42% 
08-29 00:43:41 [ 6] r: 1.200000, Lr: 0.000774, Training: 8.42%,  LossV: 0.38325, LossAV: 0.23650, LossSync: 0.62120, LossRank: 0.01615, Loss: 0.49186, ACC: 90.44% 
08-29 00:43:45 [ 6] r: 1.200000, Lr: 0.000774, Training: 8.49%,  LossV: 0.38325, LossAV: 0.23650, LossSync: 0.62144, LossRank: 0.01612, Loss: 0.49188, ACC: 90.44% 
08-29 00:43:46 [ 6] r: 1.200000, Lr: 0.000774, Training: 8.57%,  LossV: 0.38331, LossAV: 0.23727, LossSync: 0.62166, LossRank: 0.01613, Loss: 0.49270, ACC: 90.42% 
08-29 00:43:48 [ 6] r: 1.200000, Lr: 0.000774, Training: 8.64%,  LossV: 0.38248, LossAV: 0.23693, LossSync: 0.62197, LossRank: 0.01604, Loss: 0.49197, ACC: 90.43% 
08-29 00:43:51 [ 6] r: 1.200000, Lr: 0.000774, Training: 8.71%,  LossV: 0.38285, LossAV: 0.23686, LossSync: 0.62220, LossRank: 0.01603, Loss: 0.49210, ACC: 90.43% 
08-29 00:43:54 [ 6] r: 1.200000, Lr: 0.000774, Training: 8.78%,  LossV: 0.38242, LossAV: 0.23718, LossSync: 0.62262, LossRank: 0.01599, Loss: 0.49225, ACC: 90.43% 
08-29 00:43:58 [ 6] r: 1.200000, Lr: 0.000774, Training: 8.85%,  LossV: 0.38267, LossAV: 0.23684, LossSync: 0.62218, LossRank: 0.01597, Loss: 0.49199, ACC: 90.45% 
08-29 00:44:02 [ 6] r: 1.200000, Lr: 0.000774, Training: 8.92%,  LossV: 0.38284, LossAV: 0.23710, LossSync: 0.62240, LossRank: 0.01597, Loss: 0.49236, ACC: 90.45% 
